title,developer,publisher,tags,overview
Digimon Masters Online,"Move Games Co., Ltd. ",MOVE ON USA CO. ,"['Free to Play', 'Anime', 'Adventure', 'Massively Multiplayer', 'MMORPG', 'RPG', 'Action', 'Open World', 'Multiplayer', 'Casual', 'Action-Adventure', 'Action RPG', 'Co-op', 'Fantasy', 'Arcade', 'Online Co-Op', 'FPS', 'Survival', 'Singleplayer', 'Psychological Horror']",digimon masters online be the late mmo feature the ever popular digimon franchise this long await game will feature a deep rpg experience enhance graphic and adrenaline pump real time combat both new and long time digimon fan can now immerse themselves into this new epic adventure with their very own digimon what be a digimon digimon short for digital monster be a globally popular japanese medium franchise feature in countless tv series anime mangas video game film toy collectible card game etc digimon be creature inhabit in the digital world a virtual space create by humanitys various communication network and their developer digimon be raise by human refer to as tamer and they go on thrilling adventure to defeat evil digimon and human villain who strive to destroy the peace of the digital world and the real world this world be locate within the main host computer yggdrasil and be control manage by artificial intelligence all digimon each possess unique artificial intelligence which allow them to think judge and communicate as digimon each grow from their youth to adult form they go through several step of digivolution digi egg rookie champion ultimate mega to become more powerful and to survive game featuresmmo base real time combat with enemies100 mercenary digimon digimon ride modesraid boss dungeons party mode available digimon accessory reinforcement systemup to 50 map and world much more to come guild system along with rank and titlesfriend systemtrading systemachievement titlesquestsparty systemcostumes avatars
Fallout Shelter,Bethesda Game Studios ,Bethesda Softworks ,"['Free to Play', 'Survival', 'Base Building', 'Post-apocalyptic', 'Singleplayer', 'Simulation', 'Strategy', 'Management', 'Building', '2D', 'Crafting', 'RPG', 'Casual', 'Adventure', 'Sandbox', 'Multiplayer', 'Action', 'Funny', 'Atmospheric', 'Great Soundtrack']",fallout shelter put you in control of a state of the art underground vault from vault tec build the perfect vault keep your dweller happy and protect them from the danger of the wasteland build the perfect vaultcreate a bright future underground select from a variety of modern day room to turn an excavation beneath 2 000 foot of bedrock into the very picture of vault life oversee a thrive community get to know your dweller and lead them to happiness find their ideal job and watch them flourish provide them with outfit weapon and training to improve their ability customizeturn worthless junk into useful item with craft customize the look of any dweller in the barbershop prospera well run vault require a variety of dweller with a mix of skill build a radio room to attract new dweller or take an active role in their personal life play matchmaker and watch the spark fly explore the wastelandsend dweller above ground to explore the blasted surface leave behind and seek adventure handy survival loot or unspeakable death find new armor and weapon gain experience and earn cap but do not let them die protect your vaultfrom time to time idyllic vault life may be disrupt by the danger of post nuclear life prepare your dweller to protect against threat from the outside and within vault tec have provide the tool but the rest be up to you what be you wait for get start build your vault today for free
Shakes and Fidget,Playa Games GmbH ,Playa Games GmbH ,"['Free to Play', 'RPG', 'Casual', 'Massively Multiplayer', 'Adventure', 'Strategy', 'Multiplayer', 'MMORPG', 'Indie', 'Fantasy', 'Character Customization', 'Medieval', 'Comedy', 'Clicker', 'Dark Humor', 'Classic', 'Funny', 'Singleplayer', 'Story Rich', 'Cult Classic']",shake and fidget be a fun fantasy rpg satire and an award win role playing game at the same time sound crazy over 50 million player make it one of the most popular online game in the world customize your own comic book hero and conquer the top slot of the hall of fame its not an easy task with real player stand between you and victory in the pvp arena together with your pal from your guild you become strong more invincible and find lot of epic loot accept quest complete exciting adventure level up collect gold obtain honor be overpower and become a live legend feature free to play award win multiplayer rpg unique comic book look tongue in cheek humor guild fight friend chat and messaging system easy to learn easy to use ingenious gag regular updatesand even more feature 8 selectable race and 5 class pvp against other real player thousand of weapon and magical equipment exciting quest and creepy dungeon fully customizable character image in comic book look
Tactical Monsters Rumble Arena,Camex Games ,Camex Games ,"['Free to Play', 'Strategy', 'Multiplayer', 'Turn-Based', 'RPG', 'Indie', 'Adventure', 'Card Game', 'Tactical', 'PvP', 'Turn-Based Strategy', 'Tactical RPG', 'Turn-Based Tactics', 'Action', 'Early Access']",  game summary experience the rush of 3 5 minute strategy battle in the world of tactical monster comprise of monster from all corner of the world whether you be competitive in real life or virtual reality this be the ultimate competition game for you gameplay genre form the most monstrous team and conquer the real time multiplayer gameplay outsmart and destroy your opponent by strategically position your monster before battle and tactically control their action in battle this be a turn base hex grid tactic gameplay with monster from all time and space from franky the frankenstein to fantasy monster like medusa and griffin to culturally establish creature like wukong and the mummy to monster you have never see before such as bigfoot and nobu the ghost samurai each monster have their own unique background and job each monster have unique skill such as magic skill physical skill or even world ending skill like the nuclear warhead from dr walters mecha machine social interaction play with your friend in 1 on 1 virtual battle form a clan to trade card exchange tactical knowledge with player worldwide in the world chat and clan chat build your own clan defense to fend off the enemy raider and be the 1 clan in the world feature battle through adventure mode to recruit unique monster upgrade the monster to unlock ridiculous monstrous and destructive skill endure through the guerrilla warfare mode survival mode to defeat the never end boss sharpen your tactic by visit training ground duel player in real time live pvp to take their throne and claim the world treasure chest set your optimal defense formation and layout in mine defense ally with your clan mate to chat strategy to share card and be the 1 clan in your country discover free item reward and monster you may like this game if you like to like turn base game strategy games hero growth and hero collection game rpg games trpg games game similar to western chess chinese chess war chess this game be also similar to other turn base hex grid or hexagonal game support email us at support tacticalmonster comfollow us on facebook to get news update www facebook com tacticalmonsterstwitter tacticalmonsjoin our discord channel to chat strategy 500 free gem by join our discord group and enter your player i would in the newbie free gem channel tactical monster be fully develop own and operate by camex games camex game partner with lemix game to bring you some of your favorite character from monster castle
Creativerse,Playful Corp. ,Playful Corp. ,"['Free to Play', 'Survival', 'Open World', 'Multiplayer', 'Building', 'Sandbox', 'Crafting', 'Adventure', 'First-Person', 'Co-op', 'Action', 'Massively Multiplayer', 'Singleplayer', 'RPG', 'Indie', 'Early Access', 'Simulation', 'Casual', 'Voxel', 'Zombies']",embark on a wondrous adventurewield the power to manipulate and transform the land to your will in a world of endless discovery gain mastery over your world through exploration combat mining crafting and building settle in and build your home as you harvest crop tame beast brew potion cook food and engineer mechanical marvel dive into a gigantic open worldtraverse an immense landscape with a wide variety of invite natural environment and encounter strange and exotic creature venture deep beneath the surface through layer of unique and treacherous underground biome where survival be anything but easy master emergent world system include day night cycle temperature weather liquid material environmental growth and spawn play togetherbuild up your own private world and invite your friend or stake a claim in a public world to meet new player easily browse through thousand of live player world that you can visit or make your home join our thrive and welcome community to make friend get inspire collaborate and learn all the secret of creativerse create your masterpiecepull and place block to build and decorate with an enormous variety of content start with a step by step guide blueprint or make your own creation from scratch use over 400 unique piece master wireless machine and program complex interaction like creature spawn block manipulation dialogue custom checkpoint and much much more to create your own adventure share with the worldpublish your creation and adventure to million of other creativerse player browse and play through thousand of hand craft experience create from the community collect enough like and view for your adventure and see it feature on the front page can you create the most popular experience of all
Dreadnought,"Six Foot, YAGER ",Grey Box ,"['Free to Play', 'Space', 'Action', 'Massively Multiplayer', 'Sci-fi', 'Shooter']",dreadnought be about one thing team base capital ship combat its a free to play shooter that put you at the center of battle in space and above the surface of colony across the solar system but its not just you and your gun against the world you have your teammatesoutlaw captain like yourselfand a range of ballistic weaponry goliath nuclear torpedo and long range tesla cannon to fill out your earth shake arsenal combat in dreadnought take place at a deliberate pace give you just enough time to react to an ever change battlefield during each match you will be able to respawn as a different vessel and switch up your strategyall while the oppose team do the same winning be not just about cannon missile and torpedo each vessel be equip with an energy management system that give your crew the ability to activate shield boost engine power and amplify weapon damage use this energy wisely be key to come out on top every battle give you credit and xp which you can spend to unlock a range of ship weapon and module fly ship from 3 manufacturer the tough and rugged jupiter arm the solid and bulky akula vektor and the sleek and ethereal oberon have you try dreadnought best free game out there graphic be awesome kinda feel like i be steal by play this one jpanman boom straight fact right here dreadnought be awesome free to play and not pay to win elite cr at first i do not think i would ever like the corvette ship turn out they be a whole lotta fun dreadnought be a blast pun intend trashpandagrr i be here to say that dreadnought the free to play large spaceship biffing game be fun as hell and very pretty badthingsliker so very proud to represent dreadnought every time i get online and interact with the amazing community they have i be remind how lucky i be mtnrhyno fight in 8v8 match unleash your gun alongside friendsor complete stranger command your own capital ship over 70 vessel across 5 specialized class outwit opponent maneuver your ship up down and across vast battlefield adapt and conquer respawn in different ship and loadout during match create the perfect loadout equip weapon module and more choose from thousand of combination customize your ship look more colorful in victoryand defeat personalize your captain suit up in a wide range of unique outlaw apparel mix up the battlefield play classic game mode like team deathmatch onslaught and conquest advance your rank gain experience to unlock more advanced ship and module new ship we will keep add more ship across all 3 ship manufacturer new map more space and terrestrial battle arena be come in the future more game mode havoc and co op pve mission be on the horizon daily login bonus play often to get reward prestige system rise from fresh face rookie to veteran outlaw crew progression level up your officer with specialized skill community event take part in limited time event for special reward additional language come soon more to come stay tuned battle be never pay to win you can not buy power for your shipjust item to customize its appearance we deploy game update and quality of life improvement at least every 2 month we also regularly release new content for the in game market we listen tell us what you think about the game and what you would like to see in the future in our community forum the beta test period for dreadnought have end all player be require to have a steam account and complete a quick one time accounting linking process please note if you participate in the beta all progress and balance you have achieve will remain intact thank you for play add us to your steam wish list to be inform when dreadnought launch and follow us to receive update on ongoing development
Infestation: The New Z,Fredaikis AB ,Fredaikis AB ,"['Zombies', 'Free to Play', 'Survival', 'Multiplayer', 'Open World', 'Massively Multiplayer', 'FPS', 'Action', 'Shooter', 'PvP', 'Co-op', 'Violent', 'Survival Horror', 'Adventure', 'RPG', 'Horror', 'Third-Person Shooter', 'PvE', 'Walking Simulator', 'Indie']",infestation the new z be a free to play multi game mode experience develop base on community feedback experience a massive open world shooter feature a dynamic player vs player experience in different game mode and world discover three separate free to play game mode in one game battle royalebe the last man stand to win start with nothing scavenge and kill your way into victory work your way up in the elo base leaderboard and become the good player out there survivalscavenge craft survive in a massive open world find the good loot spot with your friend but be careful you may run into some pesty zombie or even other survivor survival be a game mode where gameplay and loot be influence by the old infestation series also release under the title the war z open worldexperience the traditional pvp aspect of the new z in open world player have the choice to play in traditional map or small close combat map loot be common create a more pvp orient experience besides the three different and separate game mode the new z be develop base on community feedback with constant update change next to that the game be arm with the custom make fredaikis anti cheat develop for the game
Champions Online,Cryptic Studios ,Perfect World Entertainment ,"['Free to Play', 'Superhero', 'Massively Multiplayer', 'RPG', 'Character Customization', 'MMORPG', 'Open World', 'Multiplayer', 'Action', 'Third Person', 'Co-op', 'Adventure', 'Comic Book', 'Singleplayer', 'Sci-fi', 'Online Co-Op', 'Action RPG', 'PvP', 'FPS', 'Controller']",champions online bring epic heroism back to the mmorpg genre with depth that challenge the most experienced online gamer while its fast paced action engage new entrant to the online superhero universe join defender and the legendary champion to stop dr destroyer and his minion in the ultimate showdown between good and evil key feature free to play play a triple a mmo experience without cost play from level 1 to 40 free of charge there be no box price and no mandatory subscription enjoy champion online as you like when you like total customization choose from thousand of different costume piece color and body type to create your character one of a kind look there be billion of possible combination and even in a universe brim with the fantastic and the unforgettable you can be completely unique keep your enemy close every hero must have an archenemy design your character supreme adversary choose a name power and costume for a superpowered foe to bedevil your hero throughout his or her career endless exploration the battle against evil rage across the world and into alternate dimension no other mmo offer player the chance to explore such diverse realm from the shine skyscraper of millennium city and the frozen waste of canada to the hide underwater city of lemuria the foul mystical dimension know as qliphothic and the torment vibora bay evil most foul battle supervillain alien giant monster and secret sinister organization doctor destroyer be launch new plan to conquer the world viper lurk in the shadow seek chance to strike at humanity the ancient lemurians be plot a return to power and mechanon will not stop until it have wipe all organic life from the planet can you stop these heinous threat to humanity hi octane excitement combat be instantaneous and electrify no more boring auto attack and lengthy recharge time brain require every enemy and super powered threat in champion online have its own unique ability and combat specialty use your head or wind up dead bring friend make friend our universe be jam pack with thousand of hero face thousand of threat join up with other hero create your own super group and prepare to take on the ultimate threat your power your term there be a multitude of astonishing power to choose from and the flexible character creation system give you total control over your hero ability you can even pick the appearance of your power do you want purple force field green fire blast jet black claw you decide big and better vanquish evil and your success will be reward with costume piece to enhance your power and ability then customize the appearance of those reward to your vision of your hero look and ability make your mark all this within a constantly change continually evolve story villain be defeat hero rise and fall city transform your action may decide the future
Shop Heroes,"Cloudcade, Inc. ","Cloudcade, Inc. ","['Free to Play', 'Simulation', 'Casual', 'Strategy', 'RPG', 'Massively Multiplayer', 'Crafting', 'Building', 'Multiplayer', 'Management', 'Fantasy', 'Singleplayer', 'Clicker', 'Co-op', 'Loot']",craft legendary item gear up your hero for epic quest and fight for the top of the pvp leaderboard in the original smash hit shop sim city builder with quest and adventure shop hero grow your simple shop into a vast empire become a medieval fantasy tycoon by craft selling and trading item with other player recruit a team of rpg hero to go on quest and equip them with your fine weapon and armor work together with other player merchant to build the great city in all civilization all of this adventure and more await you join the million of player that have make shop hero their second home the season of starfrost be upon us build a beautiful starfrost fountain tame the elusive starfrost bunny or even frolic with your starfrost skate build a fantasy empire design your dream item shop with beautiful interior decoration dress up your shopkeeper avatar in stylish outfit craft powerful item to sell to adventurer and player alike advance through unique tech tree to discover incredible weapon and armor trade with other player to build your wealth and fame fuse item together to unlock the rare and most powerful equipment conquer the kingdom recruit and gear up a diverse cast of rpg hero loot exciting treasure in aragonias many quest and adventure battle other player in pvp combat for wealth and glory team up with friend to build a powerful and profitable city raid massive dungeon with your city to earn exclusive lootregular event update and new content be always happen come see what shop hero have in store for you support experience any problem get some suggestion we would love to hear from you you can reach us at for immediate assistance a persistent network connection be require to play please note shop hero be completely free to play but you can purchase some game item with real money if you do not want to use this feature you can disable in app purchase in your device setting use of this application be govern by the term of service available at and use of datum be subject to the privacy policy available at us us
Magic Duels,Stainless Games Ltd. ,Wizards of the Coast LLC ,"['Free to Play', 'Card Game', 'Trading Card Game', 'Magic', 'Strategy', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Co-op', 'Online Co-Op', 'Turn-Based', 'Great Soundtrack', 'Action', 'Board Game', 'Casual']",more card more strategy big story collect 1 300 earnable card battle in 60 single player campaign mission and emerge victorious in epic online duel never play magic the gathering learn how as you take on the role of an iconic planeswalker veteran magic player hone your skill and match wit with opponent online new card 158 new unique card from magic amonkhet set new story a new story drive amonkhet campaign new item customize your play experience with 6 new card sleeve and 5 new persona many way to play experience some of magic most iconic moment in story mode head to battle mode to take on your friend or grab a partner for a four player two head giant battle build powerful deck build your deck of devastating spell from an ever grow library of earnable card practice offline hone your skill and try new deck and strategy against virtually endless ai opponent in solo mode for magic duel game support please visit
Robocraft,Freejam ,Freejam ,"['Free to Play', 'Robots', 'Building', 'Multiplayer', 'Action', 'Shooter', 'PvP', 'Massively Multiplayer', 'Sandbox', 'Crafting', 'Third-Person Shooter', 'Sci-fi', 'Strategy', 'Simulation', 'Early Access', 'Indie', 'Open World', 'Funny', 'Adventure', 'RPG']",build insane fully customisable robot battle vehicle that drive hover walk and fly in the free to play action game robocraft add weapon from the future and jump in the drive seat as you take your creation into battle against other online build combine block in an easy to use editor interface to create a futuristic robot battle vehicle arm with dozen of different weapon option drive jump into the pilot seat and test out your robot design against ai jet car tank fly warship helicopter drone almost any vehicle be possible in robocraft fight battle online in vast battlefield against player from all over the world on dedicated server additional featuresover 250 cube and grow be part of a constantly change metagame with new weapon component and feature add every monthwatch as enemy robot break apart cube by cube as you destroy them with powerful weaponry which player can switch between at their leisureform party and battle on the same team with your friendscreate or join clan of up to 50 playersshare your robotic creation with other player online via the community robot factoryfor more information about robocraft please visit robocraftgame com
Business Tour - Board Game with Online Multiplayer,Creobit ,8Floor ,"['Free to Play', 'Board Game', 'Strategy', 'Massively Multiplayer', 'Casual', 'Multiplayer', 'Indie', 'Management', 'Capitalism', 'Co-op', 'Trading', 'Singleplayer', 'Adventure', 'Psychological Horror']",  business tour simple and entertaining gameplay allow you to come up with many interesting strategy come to agreement with your rival and even enter into conspiracy against other player apart from that the game help you to reveal your inner entrepreneurial quality for precisely this reason child and adult alike can enjoy this game equally business tour allow you to play a classic tabletop game online with your friend the main advantage of business tour be that it be easy to learn to play but that do not mean it be easy to win you will have to use all your bravery and business acumen to defeat real opponent difficulty and unpredictability make the classic table top game more interesting and the gameplay more diverse key feature online multiplayer mode 2 4 player offline multiplayer mode play with bot trading card and achievement worldwide leaderboard your favorite game be now online daily task inventory
Aura Kingdom,X-Legend ,Aeria Games ,"['Anime', 'Free to Play', 'MMORPG', 'RPG', 'Massively Multiplayer', 'Adventure', 'Multiplayer', 'Fantasy', 'Open World', 'Action', 'Casual', 'JRPG', 'Cute', 'Magic', 'Nudity', 'Third Person', 'PvE', 'Online Co-Op', 'Co-op', 'Female Protagonist']",aura kingdom be a new anime mmorpg publish by aeria games develop by the studio behind the highly popular eden eternal and grand fantasia aura kingdom offer a grand and beautiful world for every player to explore with beautiful anime graphic start with one out of eleven different class aura kingdom offer the possibility for player to select a sub class once they reach level 40 allow for countless of original build player will also walk along the side of their eidolon in their journey they be loyal interactive companion who grant the strength to unleash massive combo thousand of player already walk the world of azuria it be time for you to join them key feature interactive companion eidolon be no ordinary pet not only do they participate in battle but they will also remember your action and tell you what be on their mind they be part of azuria fast pace dynamic fight mobility be a key aspect in battle think fast act faster dodge your foe attack and call upon your eidolon to unleash spectacular combo adaptability customize your character so he can overcome every challenge improve the skill that fit your play style and switfly change them during battle to adapt to your opponent strategy creativity can win you the battle a wonderful world travel the immense land of azuria visit town brim with life and explore mysterious and hidden dungeon to stop the evil of this world you can make the difference hero
Crusaders of the Lost Idols,Codename Entertainment Inc. ,Codename Entertainment Inc. ,"['Free to Play', 'Clicker', 'Casual', 'Indie', 'Funny', 'Zombies', 'Fantasy', '2D', 'Multiplayer', 'Strategy', 'RPG', 'Singleplayer']",unlock crusaders collect gear and earn achievement crusader of the lost idol be the award win clicker idle game of heroic awesomeness create a band of unusual hero to battle monster earn gold by kill them and use it to level up and unlock new character ability organize your crusader by design the perfect formation for maximum damage master formation strategy over multiple campaign and event that be update every month formation strategythe only clicker idle game to feature a formation system crusader specific ability buff and gear challenge the player to find the good formation every campaign and event unlock crusaderscollect an unusual host of over 54 character such as the bat billionaire emo werewolf and roboturkey inspire by the world of video game and popular culture with more add every month collect gear buff and trinketsa cornucopia of content with hundred of unique upgrade for each character include unique gear and buff be available to collect plusover 10 000 levelsmaster over six campaign with dozen of objective with deep playability and challenge more campaign release regularly daily questseach day player be challenge to complete mini objective that reward success with precious red ruby monthly eventslimited time event feature special objective and exclusive new content update every month missionssend your idle crusader on side mission to unlock past event crusader new gear earn enchantment point and jeweled chest plus more
AdventureQuest 3D,"Artix Entertainment, LLC ","Artix Entertainment, LLC ","['Early Access', 'Free to Play', 'RPG', 'Massively Multiplayer', 'MMORPG', 'Adventure', 'Multiplayer', 'Action', 'Fantasy', 'Action RPG', 'Third Person', 'Indie', 'Early Access', 'Anime', 'Open World', 'Action-Adventure', '3D Vision']",adventurequest 3d be a cross platform phone tablet pc mac re imagine of the original 2d flash web browser game update almost weekly battle on a true cross platform massively multiplayer game that allow you to play your character on the same world as your friend from your pc mac android and apple ios device set in the most dangerous era of adventurequest timeline the world have come under attack by a mysterious new threat answer the call and travel to the legendary town of battleon where you will discover unusual character incredible adventure horrifying pun and a world story line so big that you will have to help us write it as we go do we mention regular update feature cross platorm play your character on the same world from your pc mac android apple ios phone tablet real time combat multi class system weapon fusion evolve world regular update with new story area monster and weapon
Realm Grinder,Divine Games ,Kongregate ,"['Free to Play', 'Clicker', 'Strategy', 'RPG', 'City Builder', 'Pixel Graphics', 'Singleplayer', 'Casual', 'Building', '2D', 'Indie', 'Multiplayer', 'Resource Management', 'Simulation']",grow your kingdom build alliance and explore one of the deep idle rpgs ever use your money and influence to grow your kingdom from a single farm to a huge realm that earn wealth even while you be not online in realm grinder the player be give an incredible array of choice in how they build forge their new kingdom key feature choose to align yourself with a dozen different faction each of which have their own distinct play style will you align with the elf who reward tap for treasure or the demon who give massive bonus to the most powerful structure further fine tune your strategy by choose unique upgrade building and spell to invest in continue to unlock new and exciting system like new faction research reincarnation excavation and way more month and month of unique content achievement hunter will be delighted with the broad range and depth of the achievement system and it be not just eye candy many strategy rely on collect trophy in order to boost certain upgrade
H1Z1,"Daybreak Game Company, NantG ",Daybreak Game Company ,"['Survival', 'Massively Multiplayer', 'Multiplayer', 'Open World', 'PvP', 'FPS', 'Action', 'Shooter', 'Third-Person Shooter', 'Battle Royale', 'Free to Play', 'Zombies', 'Early Access', 'Co-op', 'Online Co-Op', 'Adventure', 'First-Person', 'Violent', 'Walking Simulator', 'Gore']",h1z1 battle royale be a free to play fast pace battle royale shooter play the all new return of the apocalypse expansion feature a new map new faster pace gameplay and legendary weapon play solo duo or five to survive outbreak and be the last one stand free to play return of the apocalypsefree expansionthe infamous z1 map have finally arrive in h1z1 as outbreak new fast pace gameplay ps3 quick jump no lock camera strafe quick run animation and morethe first ever legendary weapon apocalypse ak 47 be now available in the all new apocalypse crateif you be not first you be deadvisit the h1z1 website for more info
World of Guns: Gun Disassembly,Noble Empire Corp. ,Noble Empire Corp. ,"['Free to Play', 'Simulation', 'Shooter', 'Gun Customization', 'Education', 'Singleplayer', 'Puzzle', 'FPS', 'Action', 'Indie', 'Multiplayer', 'Military', 'Historical', 'First-Person', 'Casual', 'Realistic', 'Sandbox', 'America', 'Funny', 'Masterpiece']",do you know how the inside of a terminator minigun work try world of gun the world most realistic 3d simulator of firearm and other thing from tank to delorean time machine find out what make legendary pistol rifle machine gun and artillery piece tick then disassemble them down to the tiny part what be world of gun a free to play game and an interactive encyclopedia simulate real firearm in 3d here you can literally climb inside a gun and understand its working cut it in half fire it and bring time to a crawl and finally completely disassemble it and put it back again against the clock if you wish wog meticulously recreate historical and modern example of firearm designer genius from a tiny liberator pistol to a 16000 pound flak 88 anti aircraft gun it have both legendary world war gun and rare model that even museum struggle to find world of gun put 200 year of firearm history into a single sleek and engaging video game 169 model and 20 800 partshere you be guarantee to find something that catch your fancy sleek modern glock p90s m4s and tavorsgun steep in history like colt saas garands and lee enfieldsa vast arsenal of soviet bloc gun from various ak to the rare vss vintoreza dainty pocket derringer or a fire breathing m134 miniguna 22 sport ruger or a mighty 55 caliber boy anti tank riflenot only wog cover most important model in firearm history but also the most popular screen diva like desert eagle and spa 12 ton of game mode and featuresevery model include mode for learn operation handling and field strip the gun the armorer mode where you can completely disassemble the firearm time game mode include a hardcore mode and a high score table see every detail with the fully controllable camera layer x ray feature and a cutaway mode along with complete time control include a slow motion feature down to 50x you will even see the gas flow inside a gas block the game also feature 10 shooting range with timed objective from glock to rpg 7s paint mode that let you create custom weapon skinsminigame and quiz with xp prizesunparalleled realismworld of gun have be use as a learning aid by armorer law enforcement and military personnel to create each model our team spend month pore over actual gun photo blueprint and document each part out of hundred function in a physically correct way exactly as it do in a real thing there be few way to understand the different firearm action and system as clearly constant update noble empire release several new model every month and improve the old one majority of our model can be unlock for free by anyone power player will be able to achieve 100 completion and unlock all the gun model without spend a dime available model pistolsglock 19cz75colt 1911sig p228beretta 92fsdesert eagle 44s w sigmaspringfield xdmbrowning hi powermakarov pm jericho 941welrod mkiiwalther ppsmith wesson m p 40ruger sr9gsh 18hk uspfn five sevenwalther p99aps stechkin automatic pistol beretta px4cz 52sig sp2022mp 443 grachremington r51smg assault pistolsmp5tec 9uzihk ump 45kel tec plr 16fn p90mac 10scorpion vz 61b t mp9kriss vector 45 acpsterle mk4m3 grease gunlaunchersrpg 7m32m79revolverscolt python w model 53colt saaruger new vaquerochiappa rhino 200dsruger super redhawkruger old armys w schofieldwebley mkvicolt walker 1847nagant m1895webley fosberys w m500historicalcolt hammermauser c96borchard c93maximharpers ferrylewis gunwinchester 1873mauser 1914browning automatic rifledreyse m1907mars pistolprotector palm pistolwwiitokarev pistolluger p08mp40sten mk iim1 garandthompson gunmauser 98kppshboys anti tank riflesks riflemosin nagantdp 27 machinegunwalther p38lee enfile no 1 mk iiistg mp44 mg 34liberator fp 45ptrd 41nambu type 14ptrs 41mas 36springfield m1903ppd 40ppsm1 carbineassault riflesak47sig sg552 commandolr 300mlhk g36efn falfamas f1 m 16tar 21m4 carbineak 74naks 74uas valhk g3fn scar larmalite ar 18sa vz 58riflessig sg550ssvdhk sl9sdbarrett m107m14m200 cheytacsteyr scoutvss vintorezremington 700svt 40type 99 arisakaosv 96karabiner m1931machine gunm60m134d minigunbrowning m1919browning m2rpkmg3dshk 38compact gunsruger lcpderringercop 357amt backupruger lcrpss silentprotector palm pistolshotgunsremington 870mossberg 500benelli m4browne a 5spas 12winchester model 21winchester 1897daewoo usas 12pancor jackhammersaiga 12kartilleryzis divisional field gun8 8 cm flak 37sportruger mark iiruger 22 chargermarlin 336 rifleruger no 1beretta cx4 stormbrowning buck markcalico m100bonus modelsbikecaptain americaducati 916carscustom hot rodlotus sevenac cobradeloreanmilitaryinfantry fighting vehicle bmp 3hmmwv a2f4u corsairskeletonshumanlionhorillahorseallosauruswolf
Bloons TD Battles,Ninja Kiwi ,Ninja Kiwi ,"['Free to Play', 'Tower Defense', 'Multiplayer', 'Strategy', 'Action', 'Competitive', 'PvP', 'Casual', 'Co-op', 'Funny', '2D', 'Massively Multiplayer', 'Family Friendly', 'Singleplayer', 'Difficult', 'Mod', 'Adventure', 'Building', 'Sandbox', 'Indie']",play the top rate tower defense franchise in this free head to head strategy game it be monkey vs monkey for the first time ever go head to head with other player in a bloon pop battle for victory from the creator of good selling bloon td 5 this all new battle game be specially design for multiplayer combat feature over 20 custom head to head track incredible tower and upgrade all new attack and defense boost and the ability to control bloon directly and send them charge past your opponent defense check out these awesome feature head to head two player bloon td over 20 custom battle track 22 awesome monkey tower each with 8 powerful upgrade include the never before see c o b r a tower assault mode manage strong defense and send bloon directly against your opponent defensive mode build up your income and outlast your challenger with your superior defense battle arena mode put your medallion on the line in a high stake assault game winner take all all new monkey tower boost supercharge your monkey tower to attack faster for a limited time all new bloon boost power up your bloon to charge your opponent in assault mode battle it out for top score on the weekly leaderboard and win awesome prize create and join private match to challenge any of your steam friend 16 cool achievement to claim customize your bloon with decal so your victory have a signature stamp
Cuisine Royale,Darkflow Software ,Gaijin Distribution KFT ,"['Early Access', 'Free to Play', 'Battle Royale', 'Survival', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Shooter', 'FPS', 'Early Access', 'Funny', 'Open World', 'Violent', 'World War II', 'Memes', 'First-Person', 'Co-op', 'Psychological Horror', 'Nudity', 'Comedy']",cuisine royale be an all kitchen warfare battle royale game with the most honest system for loot box ever it be make by developer of squad base mmo shooter enlist and be completely free in battle you get ingredient that be use for cook new suite mask gesture and other cosmetic item that do not influence your combat effectiveness feature dinnerware will finally be able to show off its true potential use a colander as head protection equip a wok as a formidable breastplate or strap on a massive waffle maker to be protect even against the large caliber of weapon improve your characteristic in the battle significantly strap on a medical dropper will provide you with accelerated health regeneration a set of glass will increase weapon accuracy and chewing on a cigar will turn you into a real tough guy stand out from the crowd in battle you get ingredient that be use for cook new suite mask gesture tombstone and other cosmetic item that do not influence your combat effectiveness you can also purchase optional kitchen pass that increase reward per battle and unlock additional recipe the most honest system for loot box those be scatter around the battlefield and be free to open their content be well label and the drop chance of what be say to be inside be a 100 guarantee fair play you can play cuisine royale in first and third person view in order to mitigate advantage of the latter every player have a minion with a camera that can uncover the position of a player who be peek around a corner so if you see a butterfly or a drone you should know that you be be watch massive and intense battle 36 player per session in total will head out from different part of the map start only in their underwear and make their way to the center of a battlefield that be constantly shrink in size
